130.191.48.162	rezaccesstest.sdsu.edu
130.191.48.165	greengrass.sdsu.edu
130.191.48.193	rezbank.sdsu.edu
130.191.48.194	rezbanktest.sdsu.edu
130.191.48.216	ucs-students-t1.sdsu.edu
130.191.48.217	ucs-students-t2.sdsu.edu
130.191.48.220	azfs3.sdsu.edu
130.191.48.221	azfs2.sdsu.edu
130.191.49.4	longboard.acel.sdsu.edu
130.191.49.5	gcem.sdsu.edu
130.191.49.9	raid60.sdsu.edu
130.191.49.10	edwards-dna.sdsu.edu
130.191.49.20	edwards-dmz.sdsu.edu
130.191.49.22	redwards.sdsu.edu
130.191.49.50	elsinore.sdsu.edu
130.191.49.51	winston.sdsu.edu
130.191.49.52	day.sdsu.edu
130.191.49.99	ps-40g.sdsu.edu
130.191.49.100	perfsonar.sdsu.edu
130.191.49.101	blackbox.sdsu.edu
130.191.49.142	kwolek.sdsu.edu
130.191.49.145	cheqs.sdsu.edu
130.191.49.199	energy.sdsu.edu
130.191.49.200	cusco.sdsu.edu
130.191.49.201	mixcoatl.sdsu.edu
130.191.49.219	energyelastics.sdsu.edu
130.191.49.220	opendaylight.sdsu.edu
130.191.49.221	fiona-ipmi.sdsu.edu
130.191.49.222	fiona.sdsu.edu
130.191.49.224	naniaq.sdsu.edu
130.191.49.225	gcrgdata.sdsu.edu
130.191.49.226	gcrgserver.sdsu.edu
130.191.49.227	sdsu-ceph-01.sdsu.edu
130.191.49.232	nvme-k8s.sdsu.edu
130.191.49.234	k8s-tyan-gpu-01.sdsu.edu
130.191.49.237	healthportal.sdsu.edu
130.191.49.238	healthlink-dev.sdsu.edu
